description,name,Plant_Code,sector_nam,PrimSource,Total_MW,Coal_MW,NG_MW,Crude_MW,Bio_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Geo_MW,Other_MW,source_des,tech_desc,Source,Period,geometry
,wind,56770,IPP Non-CHP,wind,102,0,0,0,,0,0,0,0,102,,,Wind = 102 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-76.1547,40.8411,0.0</coordinates></Point>"
,wind,56771,IPP Non-CHP,wind,60,0,0,0,,0,0,0,0,60,,,Wind = 60 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-98.476111,32.338611,0.0</coordinates></Point>"
,solar,56768,IPP Non-CHP,solar,5,0,0,0,,0,0,0,5,0,,,Solar = 5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-120.3658,36.7575,0.0</coordinates></Point>"
,wind,56752,IPP Non-CHP,wind,61,0,0,0,,0,0,0,0,61,,,Wind = 61 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-110.480741,41.288056,0.0</coordinates></Point>"
,wind,56753,IPP Non-CHP,wind,80,0,0,0,,0,0,0,0,80,,,Wind = 80 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-110.544444,41.263889,0.0</coordinates></Point>"
,wind,56754,IPP Non-CHP,wind,149.6,0,0,0,,0,0,0,0,149.6,,,Wind = 149.6 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-100.791389,31.951944,0.0</coordinates></Point>"
,wind,56755,IPP Non-CHP,wind,20,0,0,0,,0,0,0,0,20,,,Wind = 20 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-94.9142,43.8953,0.0</coordinates></Point>"
,wind,56763,IPP Non-CHP,wind,662.5,0,0,0,,0,0,0,0,662.5,,,Wind = 662.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-100.9281,31.9261,0.0</coordinates></Point>"
,wind,56764,IPP Non-CHP,wind,20,0,0,0,,0,0,0,0,20,,,Wind = 20 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-93.77,43.315,0.0</coordinates></Point>"
,wind,56765,IPP Non-CHP,wind,160,0,0,0,,0,0,0,0,160,,,Wind = 160 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-93.091,43.393,0.0</coordinates></Point>"
,wind,56767,IPP Non-CHP,wind,146,0,0,0,,0,0,0,0,146,,,Wind = 146 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-95.5228,40.575,0.0</coordinates></Point>"
,wind,56784,IPP Non-CHP,wind,201,0,0,0,,0,0,0,0,201,,,Wind = 201 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-97.6644,39.4375,0.0</coordinates></Point>"
,wind,56773,IPP Non-CHP,wind,150,0,0,0,,0,0,0,0,150,,,Wind = 150 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-100.967402,33.752201,0.0</coordinates></Point>"
,wind,56774,IPP Non-CHP,wind,169.5,0,0,0,,0,0,0,0,169.5,,,Wind = 169.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-100.2686,32.1981,0.0</coordinates></Point>"
,wind,56775,IPP Non-CHP,wind,120,0,0,0,,0,0,0,0,120,,,Wind = 120 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-100.793333,32.718056,0.0</coordinates></Point>"
