Plant_Code,Latitude,Longitude,Geo_MW,Solar_MW,Wind_MW,Powerplant_MW
60353,32.214024,-100.05712,-99999,-99999,735.5,735.5
60349,31.9261,-100.9281,-99999,-99999,662.5,662.5
60341,40.583889,-87.3336,-99999,-99999,600.3,600.3
60313,37.366509,-98.261077,-99999,-99999,470.4,470.4
60312,43.080278,-95.656111,-99999,-99999,459.4,459.4
60299,45.653745,-120.603414,-99999,-99999,449.7,449.7
60276,41.1973,-94.7744,-99999,-99999,443.9,443.9
60263,32.926389,-101.647778,-99999,-99999,376,376
60260,46.524167,-117.821666,-99999,-99999,342.7,342.7
60250,37.7341,-121.6516,-99999,-99999,332.5,332.5
60249,43.7853,-75.5753,-99999,-99999,322,322
60245,40.931515,-84.561824,-99999,-99999,302,302
60241,40.8944,-104.0206,-99999,-99999,300,300
60243,43.4839,-92.6131,-99999,-99999,300,300
60244,40.9969,-88.49,-99999,-99999,300,300
60239,36.518056,-100.847222,-99999,-99999,299.7,299.7
60240,34.72,-102.253333,-99999,-99999,299.7,299.7
60238,36.984167,-97.133611,-99999,-99999,299,299
60236,35.629722,-98.024722,-99999,-99999,298.5,298.5
60235,35.770278,-97.799722,-99999,-99999,298,298
60234,45.5836,-120.5042,-99999,-99999,297.5,297.5
60222,45.288056,-120.173888,-99999,-99999,290,290
60223,45.288056,-120.173888,-99999,-99999,290,290
60220,35.653889,-100.538611,-99999,-99999,288.6,288.6
60219,42.5842,-94.7467,-99999,-99999,286.4,286.4
60208,27.0011,-97.5994,-99999,-99999,283.2,283.2
60201,31.2092,-102.2417,-99999,-99999,278,278
60198,47.036269,-120.206494,-99999,-99999,272.6,272.6
60197,46.421111,-118.026944,-99999,-99999,266.8,266.8
60196,32.752778,-116.044722,-99999,-99999,265.4,265.4
60195,45.288056,-120.173888,-99999,-99999,265,265
60193,39.2175,-79.2094,-99999,-99999,264,264
60190,45.7269,-120.8339,-99999,-99999,262.2,262.2
60188,42.334722,-94.170833,-99999,-99999,251,251
60184,40.9475,-103.783889,-99999,-99999,250.8,250.8
60142,33.926111,-103.511111,-99999,-99999,250,250
60150,38.935,-104.212,-99999,-99999,250,250
60135,36.243889,-101.001389,-99999,-99999,249.9,249.9
60134,37.620833,-101.076111,-99999,-99999,249.8,249.8
60131,27.336557,-98.984415,-99999,-99999,249.7,249.7
60129,32.5886,-100.6728,-99999,-99999,249,249
60128,39.421787,-103.67814,-99999,-99999,246,246
60121,32.3122,-100.5303,-99999,-99999,241,241
60120,41.599167,-89.456111,-99999,-99999,240,240
60111,36.574722,-97.673611,-99999,-99999,235.2,235.2
