Plant_Code,Latitude,Longitude,Geo_MW,Solar_MW,Wind_MW,Powerplant_MW
2,33.458665,-87.356823,-99999,-99999,-99999,-99999
3,31.0069,-88.0103,-99999,-99999,-99999,-99999
4,32.583889,-86.283056,-99999,-99999,-99999,-99999
7,34.0128,-85.9708,-99999,-99999,-99999,-99999
8,33.644344,-87.196486,-99999,-99999,-99999,-99999
9,31.7569,-106.375,-99999,-99999,-99999,-99999
10,32.6017,-87.7811,-99999,-99999,-99999,-99999
11,33.7845,-86.0524,-99999,-99999,-99999,-99999
12,33.2553,-87.4495,-99999,-99999,-99999,-99999
13,32.6189,-86.2548,-99999,-99999,-99999,-99999
14,33.425878,-86.337547,-99999,-99999,-99999,-99999
15,32.9633,-86.5187,-99999,-99999,-99999,-99999
16,32.680394,-85.911442,-99999,-99999,-99999,-99999
17,32.806025,-86.444892,-99999,-99999,-99999,-99999
18,33.9406,-87.1077,-99999,-99999,-99999,-99999
19,32.535436,-85.887614,-99999,-99999,-99999,-99999
20,34.172142,-85.753806,-99999,-99999,-99999,-99999
21,32.5743,-85.8901,-99999,-99999,-99999,-99999
26,33.244211,-86.458056,-99999,-99999,-99999,-99999
30,44.0501,-94.4178,-99999,-99999,-99999,-99999
34,39.134259,-120.953341,-99999,-99999,-99999,-99999
38,32.100881,-87.399767,-99999,-99999,-99999,-99999
46,34.7042,-87.1189,-99999,-99999,-99999,-99999
47,34.7439,-87.8486,-99999,-99999,-99999,-99999
48,34.421272,-86.393931,-99999,-99999,-99999,-99999
49,34.8069,-87.3819,-99999,-99999,-99999,-99999
50,34.883022,-85.755253,-99999,-99999,-99999,-99999
51,32.030556,-93.569167,-99999,-99999,-99999,-99999
53,31.4033,-86.479469,-99999,-99999,-99999,-99999
54,37.8833,-84.1017,-99999,-99999,-99999,-99999
55,31.361146,-86.518307,-99999,-99999,-99999,-99999
56,31.488019,-87.910747,-99999,-99999,-99999,-99999
59,40.854765,-98.348222,-99999,-99999,-99999,-99999
60,40.580872,-98.312437,-99999,-99999,-99999,-99999
62,58.3176,-134.101,-99999,-99999,-99999,-99999
63,58.3107,-134.4174,-99999,-99999,-99999,-99999
64,58.3536,-134.4953,-99999,-99999,-99999,-99999
65,58.3269,-134.4631,-99999,-99999,-99999,-99999
66,59.4545,-135.3131,-99999,-99999,-99999,-99999
69,59.2358,-135.445,-99999,-99999,-99999,-99999
70,55.613892,-131.35417,-99999,-99999,-99999,-99999
71,57.6861,-152.895,-99999,-99999,-99999,-99999
72,34.01135,-118.4168,-99999,-99999,-99999,-99999
75,61.2221,-149.8661,-99999,-99999,-99999,-99999
77,61.475211,-149.15009,-99999,-99999,-99999,-99999
78,58.1415,-133.737,-99999,-99999,-99999,-99999
79,64.847743,-147.735063,-99999,-99999,-99999,-99999
84,55.344641,-131.633425,-99999,-99999,-99999,-99999
85,55.357397,-131.69696,-99999,-99999,-99999,-99999
87,35.4159,-108.082,-99999,-99999,-99999,-99999
88,41.949,-74.2063,-99999,-99999,-99999,-99999
90,56.81104,-132.957091,-99999,-99999,-99999,-99999
91,60.130922,-149.43501,-99999,-99999,-99999,-99999
92,57.0516,-135.2297,-99999,-99999,-99999,-99999
93,56.460976,-132.379439,-99999,-99999,-99999,-99999
95,61.1861,-151.0356,-99999,-99999,-99999,-99999
96,47.079722,-122.365,-99999,-99999,-99999,-99999
99,33.466477,-111.781064,-99999,-99999,-99999,-99999
100,37.147926,-119.2567,-99999,-99999,-99999,-99999
104,37.9308,-100.9725,-99999,-99999,-99999,-99999
108,59.6708,-157.89,-99999,-99999,-99999,-99999
109,34.9394,-110.3033,-99999,-99999,-99999,-99999
113,31.364122,-109.5538,-99999,-99999,-99999,-99999
114,33.4417,-112.1583,-99999,-99999,-99999,-99999
116,32.5517,-111.3,-99999,-99999,-99999,-99999
117,32.7214,-114.7106,-99999,-99999,-99999,-99999
118,32.252273,-110.992148,-99999,-99999,-99999,-99999
120,32.16,-110.9047,-99999,-99999,-99999,-99999
124,34.0825,-99.1753,-99999,-99999,-99999,-99999
126,33.371506,-80.113235,-99999,-99999,-99999,-99999
127,29.733056,-81.632778,-99999,-99999,-99999,-99999
130,33.439375,-111.946052,-99999,-99999,-99999,-99999
136,33.5907,-111.344,-99999,-99999,-99999,-99999
141,33.3556,-111.9353,-99999,-99999,-99999,-99999
143,33.5536,-111.4431,-99999,-99999,-99999,-99999
145,33.671104,-111.161786,-99999,-99999,-99999,-99999
147,33.5661,-111.536,-99999,-99999,-99999,-99999
148,37.62936,-120.93139,-99999,-99999,-99999,-99999
149,35.197044,-114.570669,-99999,-99999,-99999,-99999
150,36.936614,-111.483872,-99999,-99999,-99999,-99999
151,36.01551,-114.738006,-99999,-99999,-99999,-99999
152,40.493631,-111.312506,-99999,-99999,-99999,-99999
153,32.0603,-109.8931,-99999,-99999,-99999,-99999
154,37.611461,-120.594678,-99999,-99999,-99999,-99999
159,37.621536,-120.746247,-99999,-99999,-99999,-99999
160,36.190278,-95.2894,-99999,-99999,-99999,-99999
161,34.4425,-93.0262,-99999,-99999,-99999,-99999
162,34.4341,-92.9049,-99999,-99999,-99999,-99999
165,34.635997,-92.409602,-99999,-99999,-99999,-99999
166,35.6893,-89.994,-99999,-99999,-99999,-99999
170,34.4272,-92.8941,-99999,-99999,-99999,-99999
171,40.45193,-121.86215,-99999,-99999,-99999,-99999
172,36.421507,-93.847373,-99999,-99999,-99999,-99999
174,34.211913,-93.110963,-99999,-99999,-99999,-99999
180,35.5207,-91.9953,-99999,-99999,-99999,-99999
182,36.3858,-90.1867,-99999,-99999,-99999,-99999
187,34.148427,-93.715168,-99999,-99999,-99999,-99999
188,36.2491,-92.2401,-99999,-99999,-99999,-99999
193,34.570984,-93.194425,-99999,-99999,-99999,-99999
195,36.3635,-92.5763,-99999,-99999,-99999,-99999
196,35.2503,-93.1686,-99999,-99999,-99999,-99999
197,35.462382,-93.804926,-99999,-99999,-99999,-99999
198,35.260102,-91.363426,-99999,-99999,-99999,-99999
199,33.5648,-92.7917,-99999,-99999,-99999,-99999
201,40.1719,-88.8339,-99999,-99999,-99999,-99999
202,30.4308,-81.5508,-99999,-99999,-99999,-99999
203,38.23926,-95.68978,-99999,-99999,-99999,-99999
204,39.215979,-120.80355,-99999,-99999,-99999,-99999
207,38.071944,-120.539444,-99999,-99999,-99999,-99999
210,36.909137,-119.087712,-99999,-99999,-99999,-99999
214,36.908907,-119.087556,-99999,-99999,-99999,-99999
215,40.007445,-121.249438,-99999,-99999,-99999,-99999
217,39.91062,-121.327692,-99999,-99999,-99999,-99999
218,40.175656,-121.190663,-99999,-99999,-99999,-99999
219,40.085476,-121.148241,-99999,-99999,-99999,-99999
220,40.085997,-121.149373,-99999,-99999,-99999,-99999
221,39.788877,-121.657383,-99999,-99999,-99999,-99999
222,38.771764,-120.813239,-99999,-99999,-99999,-99999
223,40.404645,-122.121904,-99999,-99999,-99999,-99999
224,40.570817,-122.02093,-99999,-99999,-99999,-99999
225,39.825907,-121.409687,-99999,-99999,-99999,-99999
227,39.869265,-121.631819,-99999,-99999,-99999,-99999
229,39.29807,-120.8443,-99999,-99999,-99999,-99999
231,39.256873,-120.767437,-99999,-99999,-99999,-99999
232,39.257388,-120.767046,-99999,-99999,-99999,-99999
233,39.216985,-120.835587,-99999,-99999,-99999,-99999
235,38.793574,-120.619152,-99999,-99999,-99999,-99999
236,38.330985,-120.669901,-99999,-99999,-99999,-99999
237,36.927424,-119.02025,-99999,-99999,-99999,-99999
238,38.956985,-121.041932,-99999,-99999,-99999,-99999
239,40.268712,-121.089479,-99999,-99999,-99999,-99999
240,40.929297,-121.544462,-99999,-99999,-99999,-99999
